iter	Passed	Remaining
400	18732	27981
401	18764	27913
402	18809	27864
403	18861	27825
404	18911	27782
405	18981	27770
406	19067	27781
407	19210	27873
408	19292	27877
409	19364	27866
410	19438	27857
411	19505	27837
412	19580	27830
413	19647	27810
414	19690	27756
415	19751	27728
416	19819	27709
417	19894	27700
418	19975	27699
419	20054	27694
420	20125	27678
421	20226	27703
422	20324	27724
423	20401	27715
424	20464	27687
425	20534	27668
426	20608	27654
427	20665	27618
428	20719	27577
429	20767	27528
430	20813	27477
431	20860	27427
432	20912	27383
433	20994	27380
434	21089	27392
435	21161	27373
436	21309	27454
437	21481	27562
438	21560	27552
439	21631	27531
440	21717	27528
441	21779	27494
442	21851	27475
443	21911	27438
444	21969	27400
445	22024	27358
446	22089	27327
447	22154	27297
448	22217	27264
449	22299	27255
450	22370	27231
451	22425	27188
452	22482	27147
453	22529	27095
454	22582	27048
455	22628	26995
456	22738	27017
457	22950	27159
458	23086	27211
459	23151	27178
460	23229	27159
461	23401	27250
462	23529	27289
463	23645	27314
464	23760	27337
465	23892	27378
466	23968	27355
467	24039	27326
468	24129	27319
469	24195	27283
470	24244	27229
471	24300	27183
472	24357	27138
473	24409	27087
474	24469	27045
475	24538	27012
476	24595	26967
477	24652	26922
478	24704	26870
479	24760	26824
480	24823	26784
481	24880	26738
482	24931	26686
483	24992	26644
484	25048	26597
485	25106	26552
486	25165	26508
487	25217	26457
488	25278	26415
489	25333	26367
490	25380	26311
491	25431	26258
492	25483	26206
493	25534	26154
494	25590	26107
495	25647	26061
496	25699	26010
497	25757	25964
498	25809	25912
499	25861	25861
500	25916	25813
501	25968	25761
502	26018	25708
503	26068	25654
504	26119	25602
505	26174	25553
506	26226	25502
507	26280	25452
508	26341	25410
509	26399	25364
510	26456	25317
511	26514	25271
512	26569	25222
513	26620	25170
514	26672	25118
515	26725	25068
516	26782	25021
517	26834	24969
518	26886	24918
519	26948	24875
520	27008	24831
521	27057	24777
522	27107	24723
523	27155	24667
524	27205	24614
525	27259	24564
526	27311	24512
527	27359	24458
528	27408	24403
529	27457	24349
530	27507	24295
531	27558	24243
532	27615	24196
533	27670	24146
534	27721	24094
535	27779	24047
536	27835	23999
537	27882	23943
538	27936	23893
539	27995	23848
540	28040	23790
541	28092	23738
542	28144	23687
543	28196	23635
544	28248	23583
545	28316	23544
546	28366	23491
547	28412	23435
548	28457	23377
549	28511	23327
550	28561	23274
551	28646	23249
552	28737	23229
553	28815	23198
554	28879	23155
555	28941	23111
556	29009	23072
557	29088	23041
558	29176	23017
559	29252	22984
560	29392	23000
561	29497	22989
562	29577	22958
563	29664	22932
564	29726	22886
565	29783	22837
566	29850	22796
567	29897	22738
568	29957	22692
569	30008	22637
570	30058	22583
571	30101	22523
572	30148	22466
573	30202	22415
574	30299	22395
575	30381	22363
576	30449	22322
577	30513	22278
578	30578	22234
579	30640	22188
580	30709	22146
581	30765	22096
582	30823	22047
583	31024	22099
584	31095	22059
585	31157	22012
586	31221	21966
587	31292	21925
588	31355	21879
589	31429	21840
590	31485	21789
591	31545	21741
592	31603	21690
593	31663	21641
594	31735	21601
595	31801	21556
596	31868	21512
597	31927	21463
598	31989	21415
599	32051	21367
600	32106	21315
601	32168	21267
602	32213	21208
603	32268	21156
604	32321	21102
605	32377	21050
606	32434	20999
607	32537	20977
608	32615	20940
609	32689	20899
610	32747	20848
611	32837	20818
612	32922	20784
613	32999	20745
614	33092	20716
615	33205	20699
616	33302	20672
617	33394	20641
618	33489	20613
619	33568	20574
620	33631	20525
621	33704	20482
622	33781	20442
623	33832	20386
624	33876	20325
625	33920	20265
626	33963	20204
627	34007	20144
628	34054	20085
629	34097	20025
630	34147	19969
631	34194	19910
632	34240	19852
633	34319	19812
634	34402	19774
635	34622	19815
636	34772	19815
637	34898	19801
638	35048	19800
639	35172	19784
640	35276	19757
641	35350	19712
642	35427	19669
643	35557	19655
644	35682	19639
645	35803	19619
646	35908	19591
647	35991	19550
648	36074	19510
649	36152	19466
650	36224	19419
651	36293	19371
652	36359	19321
653	36429	19273
654	36500	19225
655	36586	19185
656	36658	19138
657	36712	19081
658	36778	19031
659	36847	18982
660	36923	18936
661	36987	18884
662	37047	18831
663	37098	18772
664	37148	18714
665	37203	18657
666	37274	18609
667	37342	18559
668	37417	18513
669	37465	18453
670	37509	18391
671	37561	18333
672	37620	18279
673	37789	18277
674	38030	18311
675	38116	18268
676	38201	18226
677	38303	18191
678	38470	18187
679	38787	18252
680	39019	18277
681	39383	18363
682	39443	18306
683	39545	18269
684	39642	18229
685	39724	18182
686	39794	18130
687	39882	18086
688	39954	18034
